STEM ATTACHMENT ANALYSIS

candidates=297
accepted=188
unmatched=109
cross-staff=0
ambiguous-direction=0
noteheads-attached=301/301

ACCEPTED STEMS
shape-594: attached-stem; m7; from=(1243.65,1322.79) to=(1243.65,1402.99); length=3.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-842/s1,shape-823/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-650: attached-stem; m7; from=(1272.32,1435.32) to=(1272.32,1521.91); length=3.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-905/s2,shape-906/s2,shape-908/s2]; confidence=84.1 %; vertical stroke touches 3 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-589: attached-stem; m7; from=(1334.69,1310.75) to=(1334.69,1397.14); length=3.59sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-825/s1,shape-832/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-651: attached-stem; m7; from=(1363.36,1429.47) to=(1363.36,1521.91); length=3.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-902/s2,shape-901/s2,shape-903/s2,shape-904/s2]; confidence=84.1 %; vertical stroke touches 4 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-652: attached-stem; m8; from=(1532.89,1493.67) to=(1532.89,1604.07); length=4.58sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-893/s2,shape-900/s2,shape-894/s2,shape-892/s2]; confidence=84.0 %; vertical stroke touches 4 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-492: attached-stem; m8; from=(1561.57,1240.35) to=(1561.57,1326.94); length=3.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-790/s1,shape-791/s1]; confidence=84.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-653: attached-stem; m8; from=(1623.93,1493.67) to=(1623.93,1604.07); length=4.58sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-886/s2,shape-889/s2,shape-888/s2,shape-885/s2]; confidence=84.0 %; vertical stroke touches 4 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-530: attached-stem; m8; from=(1652.61,1234.50) to=(1652.61,1326.94); length=3.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-741/s1,shape-739/s1,shape-759/s1,shape-747/s1]; confidence=84.1 %; vertical stroke touches 4 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-654: attached-stem; m8; from=(1714.97,1493.67) to=(1714.97,1604.07); length=4.58sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-880/s2,shape-882/s2,shape-881/s2,shape-879/s2]; confidence=84.0 %; vertical stroke touches 4 notehead(s); best edge distance=0.095sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-511: attached-stem; m8; from=(1743.65,1228.31) to=(1743.65,1326.94); length=4.09sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-688/s1,shape-686/s1,shape-689/s1,shape-694/s1]; confidence=84.1 %; vertical stroke touches 4 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
