BEAM ATTACHMENT ANALYSIS

candidates=55
accepted=52
rejected=3
hooks=1
cross-staff=0
level-1=45
level-2=6
level-3=1
level-4+=0

ACCEPTED BEAMS
shape-1080: attached-primary-beam; m17; level=1; from=(919.71,2845.43) to=(1018.89,2841.84); length=4.67sp; width=0.582sp; slope=-0.036; left=True; right=True; hook=False; cross-staff=False; stems=[shape-562@0.04sp,shape-471@0.00sp]; confidence=89.4 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.582sp; slope=-0.036; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1113: attached-primary-beam; m17; level=1; from=(919.79,3101.88) to=(1067.12,3098.31); length=6.94sp; width=0.582sp; slope=-0.024; left=True; right=True; hook=False; cross-staff=False; stems=[shape-640@0.04sp,shape-642@0.01sp,shape-644@0.00sp,shape-646@0.00sp]; confidence=89.7 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.582sp; slope=-0.024; level=1 from per-stem rank(s) [1,1,1,1]; first-level beam has both ends supported by stems
shape-1114: attached-secondary-beam; m17; level=2; from=(919.79,3085.95) to=(1067.12,3082.38); length=6.94sp; width=0.582sp; slope=-0.024; left=True; right=True; hook=False; cross-staff=False; stems=[shape-640@0.79sp,shape-642@0.76sp,shape-644@0.74sp,shape-646@0.71sp]; confidence=89.7 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.582sp; slope=-0.024; level=2 from per-stem rank(s) [2,2,2,2]; both beam ends terminate at stems
shape-1087: attached-primary-beam; m17; level=1; from=(1136.83,2839.99) to=(1212.24,2847.29); length=3.57sp; width=0.589sp; slope=0.097; left=True; right=True; hook=False; cross-staff=False; stems=[shape-501@0.04sp,shape-528@0.00sp]; confidence=86.9 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.589sp; slope=0.097; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1062: attached-primary-beam; m17; level=1; from=(1281.73,2839.99) to=(1357.15,2847.29); length=3.57sp; width=0.589sp; slope=0.097; left=True; right=True; hook=False; cross-staff=False; stems=[shape-534@0.04sp,shape-539@0.00sp]; confidence=86.9 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.589sp; slope=0.097; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1093: attached-primary-beam; m18; level=1; from=(1457.12,2840.03) to=(1556.48,2847.24); length=4.69sp; width=0.587sp; slope=0.073; left=True; right=True; hook=False; cross-staff=False; stems=[shape-550@0.04sp,shape-509@0.00sp]; confidence=87.9 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.587sp; slope=0.073; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1108: attached-primary-beam; m18; level=1; from=(1457.29,3123.12) to=(1604.62,3119.55); length=6.94sp; width=0.582sp; slope=-0.024; left=True; right=True; hook=False; cross-staff=False; stems=[shape-649@0.04sp,shape-650@0.01sp,shape-633@0.00sp,shape-653@0.00sp]; confidence=89.7 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.582sp; slope=-0.024; level=1 from per-stem rank(s) [1,1,1,1]; first-level beam has both ends supported by stems
shape-1109: attached-secondary-beam; m18; level=2; from=(1457.29,3107.19) to=(1604.62,3103.62); length=6.94sp; width=0.582sp; slope=-0.024; left=True; right=True; hook=False; cross-staff=False; stems=[shape-649@0.79sp,shape-650@0.76sp,shape-633@0.74sp,shape-653@0.71sp]; confidence=89.7 %; beam-like stroke intersects 4 stem(s); left-supported=True; right-supported=True; width=0.582sp; slope=-0.024; level=2 from per-stem rank(s) [2,2,2,2]; both beam ends terminate at stems
shape-1097: attached-primary-beam; m18; level=1; from=(1674.33,2839.99) to=(1749.74,2847.29); length=3.57sp; width=0.589sp; slope=0.097; left=True; right=True; hook=False; cross-staff=False; stems=[shape-560@0.04sp,shape-551@0.00sp]; confidence=86.9 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.589sp; slope=0.097; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1096: attached-primary-beam; m18; level=1; from=(1819.23,2839.99) to=(1894.65,2847.29); length=3.57sp; width=0.589sp; slope=0.097; left=True; right=True; hook=False; cross-staff=False; stems=[shape-487@0.04sp,shape-482@0.00sp]; confidence=86.9 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.589sp; slope=0.097; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1110: attached-primary-beam; m19; level=1; from=(1994.20,3107.35) to=(2070.24,3098.16); length=3.61sp; width=0.577sp; slope=-0.121; left=True; right=True; hook=False; cross-staff=False; stems=[shape-592@0.04sp,shape-594@0.00sp]; confidence=87.4 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.577sp; slope=-0.121; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1111: attached-primary-beam; m19; level=1; from=(2139.54,3080.67) to=(2214.72,3077.04); length=3.54sp; width=0.580sp; slope=-0.048; left=True; right=True; hook=False; cross-staff=False; stems=[shape-595@0.04sp,shape-597@0.00sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.580sp; slope=-0.048; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
