OWNERSHIP RENDER DIAGNOSTICS
owned=no                   => ownership algorithm did not assign the shape
owned=yes rendered=no      => renderer/source mapping problem
mode=compound-component    => this split component was rendered with its own ownership color
mode=neutral-layout        => staff/bar layout geometry intentionally remains black
mode=compound-dominant     => component rendering was impossible; one fallback color was chosen
color-match=no             => shape has ownership, but fallback compound source used another color

SUMMARY
Stroke        total= 626 owned= 625 rendered= 625 exact-color= 625
CurvedStroke  total=  39 owned=  37 rendered=  37 exact-color=  37
EllipseLike   total= 417 owned= 409 rendered= 409 exact-color= 409
ShapeInstance total= 271 owned= 217 rendered= 217 exact-color= 217

DETAILS
shape-1177   EllipseLike   owned=yes staff-1+staff-pair-1-measure-3         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-3; color-match=yes; source=<path>
shape-1178   EllipseLike   owned=yes staff-3+staff-pair-2-measure-4         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-4; color-match=yes; source=<path>
shape-1179   EllipseLike   owned=yes staff-5+staff-pair-3-measure-5         g2 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-5; color-match=yes; source=<path>
shape-1180   EllipseLike   owned=yes staff-3+staff-pair-2-measure-5         g1 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-5; color-match=yes; source=<path>
shape-1181   EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<path>
shape-1182   EllipseLike   owned=yes staff-5+staff-pair-3-measure-4         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-4; color-match=yes; source=<path>
shape-1183   EllipseLike   owned=yes staff-1+staff-pair-1-measure-5         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-5; color-match=yes; source=<path>
shape-1184   EllipseLike   owned=yes staff-5+staff-pair-3-measure-4         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-4; color-match=yes; source=<path>
shape-1185   EllipseLike   owned=yes staff-1+staff-pair-1-measure-4         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-4; color-match=yes; source=<path>
shape-1186   EllipseLike   owned=yes staff-1+staff-pair-1-measure-2         g1 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-1187   EllipseLike   owned=yes staff-5+staff-pair-3-measure-2         g1 rendered=yes; mode=direct; displayed=staff-5+staff-pair-3-measure-2; color-match=yes; source=<path>
