shape-98     EllipseLike   g1 staff-10+staff-pair-5-measure-6 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-99     Stroke        g1 staff-10+staff-pair-5-measure-6 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-101    Stroke        g1 staff-10+staff-pair-5-measure-5 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-102    Stroke        g1 staff-8+staff-pair-4-measure-3 -> staff-8+staff-pair-4-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-103    Stroke        g1 staff-2+staff-pair-1-measure-2 -> staff-2+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-104    Stroke        g1 staff-10+staff-pair-5-measure-4 -> staff-10+staff-pair-5-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-105    Stroke        g1 staff-4+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-106    Stroke        g1 staff-10+staff-pair-5-measure-3 -> staff-10+staff-pair-5-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-107    Stroke        g1 staff-4+staff-pair-2-measure-5 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-108    Stroke        g1 staff-4+staff-pair-2-measure-4 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-109    Stroke        g1 staff-10+staff-pair-5-measure-2 -> staff-10+staff-pair-5-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-110    Stroke        g1 staff-8+staff-pair-4-measure-5 -> staff-8+staff-pair-4-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-111    Stroke        g1 staff-2+staff-pair-1-measure-3 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-112    Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-113    Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-114    Stroke        g1 staff-2+staff-pair-1-measure-5 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-115    Stroke        g1 staff-6+staff-pair-3-measure-2 -> staff-6+staff-pair-3-measure-3 reason=DirectIntersection; parent=-; distance=0.000
