shape-102    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-103    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-104    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-105    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-106    EllipseLike   g2 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=Proximity; parent=shape-109; distance=0.000
shape-107    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-108    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-109    Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-110    EllipseLike   g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-111    ShapeInstance g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-112    EllipseLike   g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-113    EllipseLike   g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-114    Stroke        g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-115    EllipseLike   g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-116    EllipseLike   g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-117    ShapeInstance g1 staff-2+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-118.1  CurvedStroke  g2 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=Proximity; parent=shape-13; distance=0.000
shape-118.2  CurvedStroke  g1 staff-1+staff-pair-1-measure-1 -> staff-1+staff-pair-1-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-118.3  CurvedStroke  g2 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=Proximity; parent=shape-43; distance=0.000
shape-118.4  CurvedStroke  g2 staff-1+staff-pair-1-measure-2 -> staff-1+staff-pair-1-measure-2 reason=Proximity; parent=shape-52; distance=0.000
shape-118.5  CurvedStroke  g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-118.6  CurvedStroke  g1 staff-1+staff-pair-1-measure-3 -> staff-1+staff-pair-1-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-118.7  CurvedStroke  g1 staff-1+staff-pair-1-measure-4 -> staff-1+staff-pair-1-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-119    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-120    ShapeInstance g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-121.1  ShapeInstance g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-122.1  Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-122.10 Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.11 Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.12 Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.13 Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.14 Stroke        g1 staff-4+staff-pair-2-measure-1 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.2  Stroke        g1 staff-3+staff-pair-2-measure-2 -> staff-4+staff-pair-2-measure-3 reason=DirectIntersection; parent=-; distance=0.000
shape-122.3  Stroke        g1 staff-3+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.4  Stroke        g1 staff-3+staff-pair-2-measure-4 -> staff-4+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.5  Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.6  Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.7  Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.8  Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-122.9  Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-125.1  Stroke        g4 staff-4+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-3 reason=OuterBandBelow; parent=shape-126.1; distance=0.000
shape-125.2  Stroke        g4 staff-4+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-3 reason=OuterBandBelow; parent=shape-126.1; distance=0.000
shape-125.3  Stroke        g4 staff-4+staff-pair-2-measure-4 -> staff-4+staff-pair-2-measure-4 reason=OuterBandBelowClosure; parent=shape-125.2; distance=0.000
shape-126.1  EllipseLike   g3 staff-3+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-3 reason=Proximity; parent=shape-126.2; distance=0.649
shape-126.2  ShapeInstance g2 staff-3+staff-pair-2-measure-3 -> staff-4+staff-pair-2-measure-3 reason=Proximity; parent=shape-215; distance=0.000
shape-127    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-128    Stroke        g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-129    EllipseLike   g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-130    ShapeInstance g1 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=DirectIntersection; parent=-; distance=0.000
